fips,county_state,county,state
1001,"Autauga, Alabama",Autauga,Alabama
1003,"Baldwin, Alabama",Baldwin,Alabama
1005,"Barbour, Alabama",Barbour,Alabama
1007,"Bibb, Alabama",Bibb,Alabama
1009,"Blount, Alabama",Blount,Alabama
1011,"Bullock, Alabama",Bullock,Alabama
1013,"Butler, Alabama",Butler,Alabama
1015,"Calhoun, Alabama",Calhoun,Alabama
1017,"Chambers, Alabama",Chambers,Alabama
1019,"Cherokee, Alabama",Cherokee,Alabama
1021,"Chilton, Alabama",Chilton,Alabama
1023,"Choctaw, Alabama",Choctaw,Alabama
1025,"Clarke, Alabama",Clarke,Alabama
1027,"Clay, Alabama",Clay,Alabama
1029,"Cleburne, Alabama",Cleburne,Alabama
1031,"Coffee, Alabama",Coffee,Alabama
1033,"Colbert, Alabama",Colbert,Alabama
1035,"Conecuh, Alabama",Conecuh,Alabama
1037,"Coosa, Alabama",Coosa,Alabama
1039,"Covington, Alabama",Covington,Alabama
1041,"Crenshaw, Alabama",Crenshaw,Alabama
1043,"Cullman, Alabama",Cullman,Alabama
1045,"Dale, Alabama",Dale,Alabama
1047,"Dallas, Alabama",Dallas,Alabama
1049,"DeKalb, Alabama",DeKalb,Alabama
1051,"Elmore, Alabama",Elmore,Alabama
1053,"Escambia, Alabama",Escambia,Alabama
1055,"Etowah, Alabama",Etowah,Alabama
1057,"Fayette, Alabama",Fayette,Alabama
1059,"Franklin, Alabama",Franklin,Alabama
1061,"Geneva, Alabama",Geneva,Alabama
1063,"Greene, Alabama",Greene,Alabama
1065,"Hale, Alabama",Hale,Alabama
1067,"Henry, Alabama",Henry,Alabama
1069,"Houston, Alabama",Houston,Alabama
1071,"Jackson, Alabama",Jackson,Alabama
1073,"Jefferson, Alabama",Jefferson,Alabama
1075,"Lamar, Alabama",Lamar,Alabama
1077,"Lauderdale, Alabama",Lauderdale,Alabama
1079,"Lawrence, Alabama",Lawrence,Alabama
1081,"Lee, Alabama",Lee,Alabama
1083,"Limestone, Alabama",Limestone,Alabama
1085,"Lowndes, Alabama",Lowndes,Alabama
1087,"Macon, Alabama",Macon,Alabama
1089,"Madison, Alabama",Madison,Alabama
