FIPS-UIC,State,County_Name,Attribute,Value
01001,AL,Autauga County,Population_2020,58805
01001,AL,Autauga County,UIC_2024,4
01001,AL,Autauga County,Description,Small metro (in a metro area with fewer than 1 million residents)
01003,AL,Baldwin County,Population_2020,231767
01003,AL,Baldwin County,UIC_2024,4
01003,AL,Baldwin County,Description,Small metro (in a metro area with fewer than 1 million residents)
01005,AL,Barbour County,Population_2020,25223
01005,AL,Barbour County,UIC_2024,5
01005,AL,Barbour County,Description,"Micropolitan, adjacent to a small metro area"
01007,AL,Bibb County,Population_2020,22293
01007,AL,Bibb County,UIC_2024,1
01007,AL,Bibb County,Description,Large metro (in a metro area with at least 1 million residents)
01009,AL,Blount County,Population_2020,59134
01009,AL,Blount County,UIC_2024,1
01009,AL,Blount County,Description,Large metro (in a metro area with at least 1 million residents)
01011,AL,Bullock County,Population_2020,10357
01011,AL,Bullock County,UIC_2024,6
01011,AL,Bullock County,Description,"Noncore, adjacent to a small metro area"
01013,AL,Butler County,Population_2020,19051
01013,AL,Butler County,UIC_2024,6
01013,AL,Butler County,Description,"Noncore, adjacent to a small metro area"
01015,AL,Calhoun County,Population_2020,116441
01015,AL,Calhoun County,UIC_2024,4
01015,AL,Calhoun County,Description,Small metro (in a metro area with fewer than 1 million residents)
01017,AL,Chambers County,Population_2020,34772
01017,AL,Chambers County,UIC_2024,5
01017,AL,Chambers County,Description,"Micropolitan, adjacent to a small metro area"
01019,AL,Cherokee County,Population_2020,24971
01019,AL,Cherokee County,UIC_2024,6
01019,AL,Cherokee County,Description,"Noncore, adjacent to a small metro area"
01021,AL,Chilton County,Population_2020,45014
01021,AL,Chilton County,UIC_2024,1
01021,AL,Chilton County,Description,Large metro (in a metro area with at least 1 million residents)
01023,AL,Choctaw County,Population_2020,12665
01023,AL,Choctaw County,UIC_2024,9
01023,AL,Choctaw County,Description,"Noncore, not adjacent to a metro area and does not contain a town of at least 5,000 residents"
01025,AL,Clarke County,Population_2020,23087
01025,AL,Clarke County,UIC_2024,9
01025,AL,Clarke County,Description,"Noncore, not adjacent to a metro area and does not contain a town of at least 5,000 residents"
01027,AL,Clay County,Population_2020,14236
01027,AL,Clay County,UIC_2024,9
01027,AL,Clay County,Description,"Noncore, not adjacent to a metro area and does not contain a town of at least 5,000 residents"
01029,AL,Cleburne County,Population_2020,15056
01029,AL,Cleburne County,UIC_2024,3
01029,AL,Cleburne County,Description,"Noncore, adjacent to a large metro area"
01031,AL,Coffee County,Population_2020,53465
01031,AL,Coffee County,UIC_2024,5
01031,AL,Coffee County,Description,"Micropolitan, adjacent to a small metro area"
01033,AL,Colbert County,Population_2020,57227
01033,AL,Colbert County,UIC_2024,4
01033,AL,Colbert County,Description,Small metro (in a metro area with fewer than 1 million residents)
01035,AL,Conecuh County,Population_2020,11597
01035,AL,Conecuh County,UIC_2024,9
01035,AL,Conecuh County,Description,"Noncore, not adjacent to a metro area and does not contain a town of at least 5,000 residents"
01037,AL,Coosa County,Population_2020,10387
01037,AL,Coosa County,UIC_2024,2
01037,AL,Coosa County,Description,"Micropolitan, adjacent to a large metro area"
01039,AL,Covington County,Population_2020,37570
01039,AL,Covington County,UIC_2024,6
01039,AL,Covington County,Description,"Noncore, adjacent to a small metro area"
01041,AL,Crenshaw County,Population_2020,13194
01041,AL,Crenshaw County,UIC_2024,6
01041,AL,Crenshaw County,Description,"Noncore, adjacent to a small metro area"
01043,AL,Cullman County,Population_2020,87866
01043,AL,Cullman County,UIC_2024,2
01043,AL,Cullman County,Description,"Micropolitan, adjacent to a large metro area"
01045,AL,Dale County,Population_2020,49326
01045,AL,Dale County,UIC_2024,5
01045,AL,Dale County,Description,"Micropolitan, adjacent to a small metro area"
01047,AL,Dallas County,Population_2020,38462
01047,AL,Dallas County,UIC_2024,5
01047,AL,Dallas County,Description,"Micropolitan, adjacent to a small metro area"
01049,AL,DeKalb County,Population_2020,71608
01049,AL,DeKalb County,UIC_2024,5
01049,AL,DeKalb County,Description,"Micropolitan, adjacent to a small metro area"
01051,AL,Elmore County,Population_2020,87977
01051,AL,Elmore County,UIC_2024,4
01051,AL,Elmore County,Description,Small metro (in a metro area with fewer than 1 million residents)
01053,AL,Escambia County,Population_2020,36757
01053,AL,Escambia County,UIC_2024,6
01053,AL,Escambia County,Description,"Noncore, adjacent to a small metro area"
01055,AL,Etowah County,Population_2020,103436
01055,AL,Etowah County,UIC_2024,4
01055,AL,Etowah County,Description,Small metro (in a metro area with fewer than 1 million residents)
01057,AL,Fayette County,Population_2020,16321
01057,AL,Fayette County,UIC_2024,6
01057,AL,Fayette County,Description,"Noncore, adjacent to a small metro area"
01059,AL,Franklin County,Population_2020,32113
01059,AL,Franklin County,UIC_2024,5
01059,AL,Franklin County,Description,"Micropolitan, adjacent to a small metro area"
01061,AL,Geneva County,Population_2020,26659
01061,AL,Geneva County,UIC_2024,4
01061,AL,Geneva County,Description,Small metro (in a metro area with fewer than 1 million residents)
01063,AL,Greene County,Population_2020,7730
01063,AL,Greene County,UIC_2024,4
